window,symbol,checkpoint,path,direction,entry_price,sl_price,tp_price,one_R_dist,fee_drag_R_taker_taker,fee_drag_R_maker_taker,close_exit_4h_R,close_exit_4h_resolution,close_exit_8h_R,close_exit_8h_resolution,close_exit_24h_R,close_exit_24h_resolution,close_exit_48h_R,close_exit_48h_resolution,close_exit_100h_R,close_exit_100h_resolution
60d,ETH/USDT:USDT,2026-04-11T02:30:00+00:00,15m_fast,LONG,2247.99,2127.31343636,2489.34312728,120.6765636399996,0.0186282235107901,0.013039756457553,-0.1435241398791273,close,-0.06546424394024668,close,-0.20749679345112024,close,-0.3931997942993463,close,0.567467268990924,close
60d,ETH/USDT:USDT,2026-04-11T09:30:00+00:00,15m_fast,LONG,2244.58,2133.80633033,2466.12733934,110.77366966999988,0.0202627574466632,0.0141839302126642,-0.07303179558915622,close,0.11365516767212248,close,-0.28355113713910324,close,-0.4997577507806706,close,0.7826769687984859,close
60d,ETH/USDT:USDT,2026-04-11T10:00:00+00:00,aligned_trend,LONG,2242.5,2131.72633033,2464.04733934,110.77366966999988,0.0202439804213448,0.0141707862949413,-0.035387470792273494,close,0.14443865629499117,close,-0.26630877254388996,close,-0.5002993957417763,close,0.7513518352145073,close
60d,ETH/USDT:USDT,2026-04-11T15:30:00+00:00,15m_fast,LONG,2247.04,2140.40944959,2460.30110081,106.63055041000008,0.0210731351508551,0.0147511946055985,0.6863886542701003,close,0.3675306921826103,close,-0.6286190940801287,close,-0.32729831990745384,close,1.095183318016975,close
60d,ETH/USDT:USDT,2026-04-11T16:00:00+00:00,aligned_trend,LONG,2248.39,2144.30806034,2456.55387933,104.08193966,0.0216021147121654,0.0151214802985157,0.6422824192014093,close,0.3406931127132689,close,-0.6064452700073738,close,-0.3872910144803113,close,1.2039552722532336,close
60d,ETH/USDT:USDT,2026-04-12T04:00:00+00:00,4h_flip,SHORT,2212.71,2337.62038318,1962.88923364,124.91038317999984,0.0177143800512677,0.0124000660358874,-0.034424680242984645,close,0.07685510007735709,close,0.15563157765665,close,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-12T22:30:00+00:00,15m_fast,SHORT,2187.13,2298.97976817,1963.43046366,111.84976817000006,0.0195541755319133,0.0136879228723393,-0.11989296195605917,close,-0.07536895371286877,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-13T07:30:00+00:00,15m_fast,SHORT,2183.45,2291.53326949,1967.28346102,108.08326949000002,0.0202015539528253,0.0141410877669777,-0.02035467663386903,close,-0.26544348755710506,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-13T20:00:00+00:00,4h_flip,LONG,2261.2,2147.14589728,2489.30820543,114.05410271999972,0.0198256787443341,0.0138779751210338,0.9434119197286218,close,0.9072887123932851,close,0.4501372486883589,close,0.9863739867051078,close,1.3718051018656106,close
60d,ETH/USDT:USDT,2026-04-14T14:00:00+00:00,15m_fast,LONG,2390.33,2262.29760965,2646.3947807,128.0323903499998,0.0186697287574308,0.0130688101302015,-0.4123175382080184,close,-0.5297097071655182,close,-0.5045598213343052,close,-0.6497574541300454,close,-0.23689317927352105,close
60d,ETH/USDT:USDT,2026-04-15T19:00:00+00:00,1h_continuation,LONG,2357.12,2232.40820113,2606.54359773,124.71179886999973,0.0189005372495434,0.0132303760746804,0.04386112661001878,close,-0.013070134620536026,close,-0.12011694270896736,close,0.4962641912054753,close,-0.7085135552579642,close
60d,ETH/USDT:USDT,2026-04-16T12:30:00+00:00,15m_fast,LONG,2339.64,2224.12617811,2570.66764379,115.51382188999968,0.0202541995556857,0.01417793968898,-0.07652763847098537,close,0.08959966721433477,close,0.1610196918054718,close,0.1207647688541068,close,-0.3208274074360648,close
60d,ETH/USDT:USDT,2026-04-16T20:00:00+00:00,1h_continuation,LONG,2358.39,2233.62951071,2607.91097857,124.7604892899999,0.0189033404198827,0.0132323382939179,-0.09193615755496376,close,-0.2719611007707027,close,0.5457657339073763,close,-0.09097431458141661,close,-0.36710340157082727,close
60d,ETH/USDT:USDT,2026-04-16T20:00:00+00:00,aligned_trend,LONG,2358.39,2233.62951071,2607.91097857,124.7604892899999,0.0189033404198827,0.0132323382939179,-0.09193615755496376,close,-0.2719611007707027,close,0.5457657339073763,close,-0.09097431458141661,close,-0.36710340157082727,close
60d,ETH/USDT:USDT,2026-04-17T07:30:00+00:00,15m_fast,LONG,2336.22,2216.73988424,2575.18023153,119.48011576,0.0195532117217962,0.0136872482052573,0.12094062604547541,close,0.8949606327365035,close,0.574154113959827,close,-0.291261853728888,close,-0.09231661628245935,close
60d,ETH/USDT:USDT,2026-04-17T13:00:00+00:00,15m_fast,LONG,2370.72,2252.71265529,2606.73468943,118.00734470999988,0.0200895970147111,0.0140627179102977,0.6718225903212112,close,0.4625983249953951,close,-0.12058571468555529,close,-0.3501476971754816,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-19T04:00:00+00:00,4h_flip,SHORT,2338.6,2432.7896383,2150.22072341,94.1896383000003,0.0248286334060589,0.0173800433842412,0.2583086679078993,close,0.1161486570864135,close,0.5683215369136796,close,0.30215637848988264,close,-0.04469706090802584,close
60d,ETH/USDT:USDT,2026-04-19T16:00:00+00:00,15m_fast,SHORT,2329.47,2442.6071328,2103.1957344,113.13713280000002,0.0205897917186743,0.014412854203072,0.27258954895487403,close,0.5945881633655822,close,0.14813880805718777,close,0.17819083355805046,close,0.156358920914775,close
